area_acres,pop100_re,hu100_re,income,ashmont,braintree,blue,orange,b,c,d,e
384.4502,5417,2983,188,,12,,,,,,
325.2812,4280,1987,150,,13,,,,,,
1149.8224,6069,2236,128,15,,,,,,,
610.9986,8182,3325,127,,11,,,,,,
682.1294,4749,1824,118,16,,,,,,,
95.1955,3865,2017,134,,,,,,,10,
149.8045,3598,1442,123,,,,,,,11,
190.1329,5449,2869,141,,,,,,9,,
303.1856,5177,2218,147,,,,,,10,12,
131.6956,6132,2954,211,,,,,,8,,
216.6637,4977,2511,168,,,,,,7,9,
1810.2216,4358,1797,55,,14,,,,,,
89.8661,5522,994,68,,,,8,,,,8
74.1226,2400,1643,139,,,,,4,3,4,6
62.9361,3173,1283,142,,,,,,,8,
70.8488,4804,2136,161,,,,,7,6,7,
43.9868,2791,1418,109,,,,,10,,,
82.3269,4985,2726,168,,,,,13,,,
59.2478,4801,2405,114,,,,,11,,,
67.4633,4569,528,75,,,,,8,,,
286.1755,6584,946,79,,,,,9,,,
437.3116,5546,2702,127,14,,,,,,,
73.5051,2014,1044,68,,,,,,,,13
52.8045,2331,905,70,,,,11,,,,
246.8237,5751,2825,87,,,,12,,,,
288.9883,4979,2149,176,17,,,,,,,
319.6519,6058,2632,149,1,1,,,,,,
87.9258,2509,1207,84,3,3,,,,,,
55.6928,1629,772,30,2,2,,,,,,
135.7493,5365,1956,140,4,4,,,,,,
642.3228,3494,1343,65,,,,,,,16,
505.1029,4194,1594,71,,,,,,,15,
660.3189,5923,2548,126,,,,,,,14,
104.3844,2277,1431,115,,,,,,,,1
221.9349,5040,327,64,6,6,,,,,,
82.7251,3584,2001,122,5,5,,,,,,
280.9262,3675,1450,131,,,,1,,,,
800.8769,4738,1515,55,,,,,,,16,
286.5425,6093,2345,149,,,3,,,,,
170.8316,4872,2960,181,,,6,,1,1,1,3
1774.6385,389,245,75,,,4,,,,,
231.0485,5460,2353,114,,,,13,,,,
49.9899,2478,1599,141,,,,,6,5,6,
34.3835,2211,1408,84,,,,,14,,,
28.8824,3649,2478,126,7,7,,,,,,
83.8881,2858,2325,133,,,,,5,4,5,7
56.9376,4446,2359,118,,,,,12,,,
81.4777,0,0,95,,,,,3,2,3,5
69.7716,3265,1232,92,,,,10,,,,
122.5254,4091,1781,70,,,,,,,,12
63.4196,4008,1776,120,,,,,,,,10
90.1136,3885,946,57,,,,,,,,9
138.4091,4271,920,90,,,,,,,,
60.677,3096,1323,88,,,,,,,,
108.8335,2710,1249,111,,,,,,,,
89.6364,3753,2185,96,,,,,,,,
41.3795,3329,1798,108,,,,,,,,
143.6331,3349,1227,84,13,,,,,,,
121.0083,4945,1693,87,12,,,,,,,
394.0731,207,0,95,,,,,,,,
354.1949,2444,1334,93,,,,4,,,,
296.1164,6303,2041,126,,,,,15,11,,
40.5547,2361,1366,90,,,,7,,,,
73.4541,5460,3066,173,,,,,,,,
66.413,5218,1690,141,,,,6,,,,
251.8164,5902,3383,216,8,8,,5,2,,2,4
455.0103,3240,2041,102,9,9,,,,,,
110.902,3400,1847,123,,,,,,,,2
66.1367,1723,680,32,,,,,,,,
137.9955,4890,2287,127,,,,,,,,11
99.3861,3131,1399,70,,,,,,,,
293.199,2742,1315,79,11,,,,,,,
265.0169,4275,1990,102,10,10,,,,,,
237.5864,3435,1927,152,,,1,,,,,
311.5697,2357,1530,128,,,,,,,,
127.5432,2099,1053,98,,,2,,,,,
32.6105,2372,1035,82,,,5,,,,,
153.3142,3003,1462,115,,,,9,,,,
287.63,4410,2370,111,,,,3,,,,
273.4694,6857,2786,170,,,,2,,,,
766.2316,6026,1029,78,,,,,,,13,
838.5097,6187,2016,76,,,,,16,,,
